8864;3248;2113
8865;2963;2436
8866;2609;2763
8867;2272;3077
8868;1927;3352
8869;1604;3603
8870;1218;3763
8871;1032;3849
8872;802;3850
8873;607;3835
8874;492;3759
8875;458;3590
8876;506;3345
8877;641;3044
8878;834;2700
8879;1092;2337
8880;1384;1935
8881;1705;1571
8882;2058;1246
8883;2385;979
8884;2710;774
8885;3018;629
8886;3276;584
8887;3485;581
8888;3627;657
8889;3711;797
8890;3743;980
8891;3711;1231
8892;3633;1486
8893;3490;1759
8894;3296;2054
8895;3060;2346
8896;2788;2659
8897;2501;2951
8898;2200;3222
8899;1886;3455
8900;1573;3648
8901;1312;3798
8902;1073;3857
8903;858;3864
8904;683;3856
8905;544;3821
8906;482;3721
8907;490;3537
8908;550;3292
8909;666;3010
8910;853;2693
8911;1106;2371
8912;1352;2038
8913;1622;1696
8914;1919;1382
8915;2197;1104
8916;2493;897
8917;2761;726
8918;2997;641
8919;3216;570
8920;3417;570
8921;3563;620
8922;3671;720
8923;3705;843
8924;3744;1009
8925;3739;1218
8926;3677;1429
8927;3568;1637
8928;3435;1888
8929;3241;2142
8930;3035;2391
8931;2810;2658
8932;2574;2913
8933;2303;3124
8934;2035;3333
8935;1782;3519
8936;1539;3683
8937;1330;3785
8938;1105;3841
8939;912;3851
8940;782;3844
8941;651;3818
8942;557;3755
8943;500;3636
8944;485;3474
8945;523;3275
8946;585;3053
8947;692;2581
8948;842;2565
8949;1003;2298
8950;1196;2010
8951;1422;1758
8952;1695;1521
8953;1940;1262
8954;2197;1038
8955;2448;850
8956;2716;731
8957;2943;631
8958;3120;579
8959;3337;584
8960;3517;614
8961;3625;710
8962;3687;867
8963;3717;1036
8964;3690;1213
8965;3610;1435
8966;3470;1736
8967;3291;2018
8968;3053;2324
8969;2763;2586
8970;2441;2913
8971;2107;3203
8972;1794;3462
8973;1479;3664
8974;1189;3803
8975;945;3855
8976;723;3851
8977;570;3829
8978;493;3722
8979;522;3519
8980;626;3227
8981;803;2867
8982;1053;2488
8983;1340;2105
8984;1677;1723
8985;2038;1364
8986;2401;1057
8987;2725;808
8988;3026;651
8989;3286;585
8990;3505;593
8991;3628;680
8992;3685;837
8993;3680;1075
8994;3595;1330
8995;3437;1619
8996;3213;1949
8997;2949;2291
8998;2661;2617
8999;2335;2925
9000;2022;3221
9001;1690;3458
9002;1424;3647
9003;1165;3781
9004;933;3839
9005;748;3841
9006;599;3803
9007;516;3712
9008;501;3539
9009;528;3314
9010;643;3047
9011;773;2737
9012;993;2400
9013;1217;2089
9014;1476;1794
9015;1760;1448
9016;2036;1204
9017;2327;961
9018;2587;795
9019;2850;679
9020;3088;604
9021;3289;585
9022;3444;630
9023;3551;713
9024;3615;874
9025;3632;1017
9026;3601;1227
9027;3511;1457
9028;3373;1719
9029;3169;2007
9030;2912;2302
9031;2627;2604
9032;2330;2918
9033;2031;3197
9034;1722;3434
9035;1413;3632
9036;1145;3778
9037;891;3847
9038;703;3845
9039;554;3816
9040;480;3711
9041;488;3525
9042;554;3279
9043;669;2984
9044;858;2656
9045;1093;2301
9046;1407;1932
9047;1706;1578
9048;2041;1262
9049;2361;966
9050;2674;754
9051;2966;610
9052;3221;565
9053;3408;565
9054;3546;655
9055;3595;805
9056;3607;1005
9057;3541;1233
9058;3427;1493
9059;3249;1775
9060;3024;2096
9061;2759;2392
9062;2475;2697
9063;2176;2994
9064;1905;3249
9065;1611;3459
9066;1353;3617
9067;1137;3734
9068;923;3803
9069;729;3812
9070;584;3784
9071;504;3685
9072;476;3532
9073;504;3318
9074;585;3087
9075;718;2842
9076;897;2517
9077;1098;2219
9078;1357;1904
9079;1681;1604
9080;1969;1301
9081;2270;1028
9082;2555;807
9083;2826;669
9084;3061;579
9085;3275;555
9086;3427;606
9087;3510;700
9088;3556;861
9089;3572;1031
9090;3519;1178
9091;3385;1362
9092;3230;1678
9093;2980;2028
9094;2734;2308
9095;2455;2651
9096;2167;2937
9097;1836;3200
9098;1550;3427
9099;1300;3619
9100;1073;3739
9101;851;3795
9102;653;3803
9103;529;3767
9104;473;3650
9105;465;3453
9106;528;3221
9107;620;2928
9108;806;2654
9109;1061;2370
9110;1328;1988
9111;1565;1607
9112;1870;1289
9113;2249;1053
9114;2606;826
9115;2899;642
9116;3140;544
9117;3311;546
9118;3445;618
9119;3525;724
9120;3540;911
9121;3483;1140
9122;3350;1413
9123;3146;1749
9124;2913;2077
9125;2634;2395
9126;2336;2695
9127;2058;2990
9128;1693;3240
9129;1336;3451
9130;1076;3634
9131;867;3753
9132;659;3771
9133;492;3724
9134;467;3592
9135;534;3328
9136;670;2995
9137;854;2623
9138;1170;2229
9139;1524;1865
9140;1853;1424
9141;2241;1057
9142;2735;813
9143;3090;629
9144;3293;519
9145;3561;687
9146;3543;929
9147;3421;1276
9148;3168;1581
9149;2772;1965
9150;2337;2391
9151;1911;2861
9152;1515;3253
9153;1166;3538
9154;863;3712
9155;614;3788
9156;475;3722
9157;466;3576
9158;621;3284
9159;905;2884
9160;1265;2326
9161;1652;1787
9162;2108;1321
